seriesId,date,screen,views
Program 3,20180116,desktop,278
Program 3,20180116,tablet,82
Program 3,20180116,mobile,32
Program 3,20180117,tablet,58
Program 3,20180117,mobile,23
Program 3,20180117,desktop,202
Program 3,20180118,tablet,37
Program 3,20180118,mobile,23
Program 3,20180118,desktop,134
Program 3,20180119,mobile,28
Program 3,20180119,tablet,37
Program 3,20180119,desktop,133
Program 3,20180120,mobile,20
Program 3,20180120,desktop,100
Program 3,20180120,tablet,13
Program 3,20180121,mobile,24
Program 3,20180121,tablet,39
Program 3,20180121,desktop,112
Program 3,20180122,desktop,237
Program 3,20180122,tablet,59
Program 3,20180122,mobile,35
Program 3,20180123,mobile,15
Program 3,20180123,tablet,27
Program 3,20180123,desktop,146
Program 3,20180124,tablet,87
Program 3,20180124,desktop,357
Program 3,20180124,mobile,41
Program 3,20180125,desktop,198
Program 3,20180125,mobile,102
Program 3,20180125,tablet,35
Program 3,20180126,desktop,147
Program 3,20180126,tablet,22
Program 3,20180126,mobile,28
Program 3,20180127,mobile,30
Program 3,20180127,desktop,83
Program 3,20180127,tablet,19
Program 3,20180128,tablet,35
Program 3,20180128,mobile,46
Program 3,20180128,desktop,113
Program 3,20180129,mobile,29
Program 3,20180129,tablet,40
Program 3,20180129,desktop,213
Program 3,20180130,tablet,34
Program 3,20180130,mobile,25
Program 3,20180130,desktop,123
Program 3,20180131,tablet,13
Program 3,20180131,desktop,148
Program 3,20180131,mobile,27
Program 3,20180201,desktop,116
Program 3,20180201,mobile,42
Program 3,20180201,tablet,22
Program 3,20180202,desktop,119
Program 3,20180202,tablet,9
Program 3,20180202,mobile,11
Program 3,20180203,mobile,12
Program 3,20180203,desktop,86
Program 3,20180203,tablet,33
Program 3,20180204,desktop,147
Program 3,20180204,tablet,27
Program 3,20180204,mobile,28
Program 3,20180205,tablet,57
Program 3,20180205,mobile,33
Program 3,20180205,desktop,178
Program 3,20180206,mobile,19
Program 3,20180206,tablet,40
Program 3,20180206,desktop,155
Program 3,20180207,mobile,29
Program 3,20180207,tablet,33
Program 3,20180207,desktop,187
Program 3,20180208,tablet,35
Program 3,20180208,desktop,135
Program 3,20180208,mobile,26
Program 3,20180209,tablet,13
Program 3,20180209,mobile,23
Program 3,20180209,desktop,144
Program 3,20180210,desktop,63
Program 3,20180210,mobile,13
Program 3,20180210,tablet,16
Program 3,20180211,desktop,88
Program 3,20180211,mobile,27
Program 3,20180211,tablet,20
Program 3,20180212,tablet,31
Program 3,20180212,desktop,134
Program 3,20180212,mobile,30
Program 3,20180213,desktop,138
Program 3,20180213,tablet,21
Program 3,20180213,mobile,23
Program 3,20180214,mobile,23
Program 3,20180214,desktop,157
Program 3,20180214,tablet,19
Program 3,20180215,mobile,50
Program 3,20180215,tablet,15
Program 3,20180215,desktop,110
Program 3,20180216,tablet,20
Program 3,20180216,mobile,28
Program 3,20180216,desktop,116
Program 3,20180217,tablet,13
Program 3,20180217,desktop,66
Program 3,20180217,mobile,21
Program 3,20180218,desktop,93
Program 3,20180218,tablet,18
Program 3,20180218,mobile,19
Program 3,20180219,mobile,30
Program 3,20180219,desktop,116
Program 3,20180219,tablet,21
Program 3,20180220,desktop,92
Program 3,20180220,tablet,28
Program 3,20180220,mobile,23
Program 3,20180221,mobile,29
Program 3,20180221,tablet,18
Program 3,20180221,desktop,102
Program 3,20180222,mobile,29
Program 3,20180222,tablet,18
Program 3,20180222,desktop,153
Program 3,20180223,desktop,118
Program 3,20180223,mobile,19
Program 3,20180223,tablet,20
Program 3,20180224,desktop,91
Program 3,20180224,tablet,19
Program 3,20180224,mobile,24
Program 3,20180225,mobile,30
Program 3,20180225,desktop,101
Program 3,20180225,tablet,27
Program 3,20180226,desktop,119
Program 3,20180226,tablet,29
Program 3,20180226,mobile,30
Program 3,20180227,tablet,21
Program 3,20180227,mobile,19
Program 3,20180227,desktop,94
Program 3,20180228,tablet,26
Program 3,20180228,desktop,147
Program 3,20180228,mobile,32
Program 3,20180301,tablet,28
Program 3,20180301,mobile,15
Program 3,20180301,desktop,183
Program 3,20180302,tablet,6
Program 3,20180302,desktop,130
Program 3,20180302,mobile,15
Program 3,20180303,desktop,86
Program 3,20180303,tablet,5
Program 3,20180303,mobile,17
Program 3,20180304,desktop,147
Program 3,20180304,mobile,15
Program 3,20180304,tablet,25
Program 3,20180305,desktop,197
Program 3,20180305,mobile,21
Program 3,20180305,tablet,22
Program 3,20180306,mobile,24
Program 3,20180306,desktop,163
Program 3,20180306,tablet,28
Program 3,20180307,desktop,142
Program 3,20180307,tablet,16
Program 3,20180307,mobile,12
Program 3,20180308,tablet,22
Program 3,20180308,mobile,29
Program 3,20180308,desktop,127
Program 3,20180309,desktop,91
Program 3,20180309,tablet,24
Program 3,20180309,mobile,32
Program 3,20180310,desktop,86
Program 3,20180310,mobile,11
Program 3,20180311,tablet,16
Program 3,20180311,mobile,13
Program 3,20180311,desktop,90
Program 3,20180312,desktop,176
Program 3,20180312,mobile,24
Program 3,20180312,tablet,20
Program 3,20180313,desktop,179
Program 3,20180313,tablet,11
Program 3,20180313,mobile,29
Program 3,20180314,tablet,22
Program 3,20180314,desktop,152
Program 3,20180314,mobile,35
Program 3,20180315,desktop,113
Program 3,20180315,mobile,33
